Year,Bench_Ret,Bench_MaxDD,MA200_LowCost_Ret,MA200_LowCost_MaxDD,MA200_LowCost_Alpha,MA200_HighCost_Ret,MA200_HighCost_MaxDD,MA200_HighCost_Alpha,Tech_Drift_Ret,Tech_Drift_MaxDD,Tech_Drift_Alpha
2005,0.039394532021568285,-0.040756531342233386,0.06505423328875914,-0.056894403371834504,0.02565970126719086,0.029279351196671133,-0.06994173273784848,-0.010115180824897152,-0.08426725701763882,-0.13597996014878513,-0.1236617890392071
2006,0.11090819070504354,-0.04306522949186974,0.08136752896778021,-0.17392018995976674,-0.02954066173726333,0.04922989185714455,-0.17160120713893898,-0.061678298847898994,0.03565184949943734,-0.10045169498206415,-0.0752563412056062
2007,0.06144759457108373,-0.050887894403448916,0.05011971153493122,-0.08813389703016396,-0.011327883036152508,0.013823601782446904,-0.10144513806573904,-0.047623992788636826,0.19110599104616166,-0.11448250109749093,0.12965839647507793
2008,-0.19900669475039534,-0.3100949696506797,0.20361190805004536,-0.16412696901360121,0.4026186028004407,0.15995346077042005,-0.19011521500825482,0.3589601555208154,-0.16913779358515224,-0.159907161191537,0.0298689011652431
2009,0.17510330568393062,-0.18297101916789535,0.1312533640807021,-0.08668062521037496,-0.043849941603228526,0.10929208894060483,-0.08674957578291563,-0.0658112167433258,0.29009404486459256,-0.07809719227880663,0.11499073918066194
2010,0.1200497133164462,-0.08373471589047263,0.1280413265680016,-0.07753531945335153,0.007991613251555396,0.09849535359249662,-0.07752601000364384,-0.02155435972394959,0.00747301763491981,-0.2385166916491923,-0.1125766956815264
2011,0.049693243576763635,-0.09762092032990813,0.10762251171952042,-0.11151317855574201,0.057929268142756785,0.08824473357102969,-0.11868543617216037,0.03855148999426605,-0.11264585388367088,-0.18511986325035465,-0.1623390974604345
2012,0.11288183292582143,-0.051318835651999725,0.03315047227172774,-0.05933132947232575,-0.0797313606540937,0.008598284314939253,-0.06825945602696779,-0.10428354861088218,0.10742961392389705,-0.11487181798331626,-0.0054522190019243855
2013,0.1753331255370012,-0.04735321623876878,0.2124579652277454,-0.05550620077162854,0.037124839690744205,0.18711449224759513,-0.055506200771628815,0.011781366710593932,0.3656801111344421,-0.058537722049759836,0.1903469855974409
2014,0.10620910939198325,-0.03705150814291143,0.06122647573302076,-0.04984060462550283,-0.04498263365896249,0.028211389159207734,-0.05395965011779818,-0.07799772023277551,0.19181399107457198,-0.08248491054759699,0.08560488168258873
2015,0.012734668025497164,-0.07145181648019952,-0.1924273257469672,-0.2216746098503283,-0.20516199377246436,-0.23903117359635795,-0.26591961241174916,-0.2517658416218551,0.016699520588365324,-0.12148629093501755,0.00396485256286816
2016,0.08311656801741507,-0.047630992078122464,0.17754036061441836,-0.06691769316884866,0.09442379259700329,0.15155870233607605,-0.07877713773501067,0.06844213431866097,-0.013305111374804501,-0.09745222041936395,-0.09642167939221957
2017,0.14238684895391884,-0.012338975509365609,0.10960416730984579,-0.036101326192852515,-0.03278268164407305,0.09306176952885137,-0.047347645585453,-0.049325079425067475,0.3281300162691789,-0.04881926018399708,0.18574316731526008
2018,-0.022817415551902642,-0.11402402455358195,-0.08454931404330812,-0.14118025101593618,-0.06173189849140548,-0.12252080640596086,-0.1710412237664328,-0.09970339085405822,-0.044124481366527024,-0.20555286337192824,-0.021307065814624382
2019,0.21876579272050378,-0.031820091513579264,0.16705425777333494,-0.03341699063977375,-0.05171153494716885,0.16163079048970963,-0.032311349247016674,-0.05713500223079415,0.18696833447095873,-0.11027725247255284,-0.03179745824954505
2020,0.15339732625667613,-0.21716996674426592,0.25056825082876766,-0.133770571038333,0.09717092457209153,0.23099224125613294,-0.13149475579340747,0.07759491499945681,0.36253541993212535,-0.219945597229298,0.20913809367544922
2021,0.15783981264230662,-0.03424730768486505,0.10678158309815133,-0.06353502404002344,-0.05105822954415529,0.06024681105565377,-0.07551745796043355,-0.09759300158665285,0.27419748479099226,-0.1085154024442157,0.11635767214868564
2022,-0.15679370332744258,-0.20315247483085017,-0.19733097023665647,-0.2189637466342424,-0.04053726690921389,-0.24253753541335654,-0.24626093860336087,-0.08574383208591396,-0.17323523916077355,-0.18049996020438497,-0.016441535833330967
2023,0.17956959523478955,-0.07756711870296647,0.0707183506382989,-0.08578659558254133,-0.10885124459649065,0.009930872027753113,-0.12557207849749893,-0.16963872320703643,0.37482629049889193,-0.10779925137080511,0.1952566952641024
2024,0.1509043620149293,-0.04488670727631765,0.11553373921144239,-0.04815900126049556,-0.035370622803486906,0.08745675194773606,-0.0571222023647394,-0.06344761006719324,0.25578263346482766,-0.13557728849577064,0.10487827144989836
2025,0.15267938924032842,-0.11271014185939289,0.42505298603900776,-0.05984409067894055,0.27237359679867934,0.38905019475747027,-0.06126195184652768,0.23637080551714185,0.14995413932179402,-0.11311198521386323,-0.0027252499185344004
